family,group,lead_time,shelf_life,unit_price,gross_margin,unit_cost,unit_margin,cu,co,q_star_raw,q_star
BREAD/BAKERY,perishable,1,2,1.5,0.35,0.9750000000000001,0.5249999999999999,0.7874999999999999,0.9763356164383562,0.4464701770736253,0.5
PREPARED FOODS,perishable,1,2,5.0,0.4,3.0,2.0,3.0,3.004109589041096,0.49965776865160844,0.5
SEAFOOD,perishable,1,2,7.0,0.25,5.25,1.75,2.625,5.257191780821918,0.33302919708029194,0.5
DELI,perishable,1,3,4.0,0.3,2.8,1.2,1.7999999999999998,1.8705022831050226,0.49039609872611467,0.5
MEATS,perishable,1,3,5.0,0.2,4.0,1.0,1.5,2.6721461187214612,0.35952719711064907,0.5
POULTRY,perishable,1,3,4.0,0.18,3.2800000000000002,0.72,1.08,2.1911598173515983,0.33015812748470097,0.5
PRODUCE,perishable,1,4,1.2,0.3,0.84,0.36,0.54,0.4211506849315068,0.5618265777321704,0.5618265777321704
DAIRY,perishable,1,5,1.8,0.2,1.4400000000000002,0.36000000000000004,0.54,0.5779726027397261,0.4830172033524482,0.5
EGGS,perishable,1,5,3.0,0.15,2.55,0.44999999999999996,0.6749999999999999,1.0234931506849316,0.3974110815388337,0.5
GROCERY I,grocery,2,0,2.0,0.2,1.6,0.4,0.6000000000000001,0.0032876712328767125,0.994550408719346,0.98
BEVERAGES,grocery,2,0,1.5,0.2,1.2000000000000002,0.30000000000000004,0.45000000000000007,0.0024657534246575346,0.994550408719346,0.98
CLEANING,grocery,2,0,3.0,0.25,2.25,0.75,1.125,0.004623287671232877,0.9959072305593452,0.98
HOME CARE,grocery,2,0,4.0,0.25,3.0,1.0,1.5,0.006164383561643835,0.9959072305593452,0.98
PERSONAL CARE,grocery,2,0,4.0,0.3,2.8,1.2,1.7999999999999998,0.005753424657534247,0.9968138370505235,0.98
FROZEN FOODS,grocery,2,0,4.0,0.25,3.0,1.0,1.5,0.006164383561643835,0.9959072305593452,0.98
"LIQUOR,WINE,BEER",grocery,2,0,8.0,0.25,6.0,2.0,3.0,0.01232876712328767,0.9959072305593452,0.98
GROCERY II,grocery,3,0,3.0,0.22,2.34,0.66,0.99,0.006410958904109589,0.9935659490225192,0.98
BABY CARE,grocery,3,0,6.0,0.25,4.5,1.5,2.25,0.012328767123287671,0.9945504087193461,0.98
BEAUTY,grocery,3,0,5.0,0.35,3.25,1.75,2.625,0.008904109589041096,0.9966194253023013,0.98
PET SUPPLIES,grocery,3,0,6.0,0.3,4.199999999999999,1.7999999999999998,2.6999999999999997,0.011506849315068492,0.9957562897847834,0.98
CELEBRATION,grocery,3,0,4.0,0.35,2.6,1.4,2.0999999999999996,0.007123287671232877,0.9966194253023013,0.98
MAGAZINES,grocery,3,0,3.0,0.3,2.0999999999999996,0.8999999999999999,1.3499999999999999,0.005753424657534246,0.9957562897847834,0.98
BOOKS,grocery,3,0,10.0,0.3,7.0,3.0,4.5,0.019178082191780823,0.9957562897847833,0.98
SCHOOL AND OFFICE SUPPLIES,grocery,3,0,3.0,0.4,1.7999999999999998,1.2000000000000002,1.8000000000000003,0.004931506849315068,0.9972677595628415,0.98
HARDWARE,hardware,7,0,10.0,0.35,6.5,3.5,5.25,0.03561643835616438,0.9932616301671633,0.98
AUTOMOTIVE,hardware,7,0,8.0,0.3,5.6,2.4,3.5999999999999996,0.030684931506849315,0.9915484455176578,0.98
HOME APPLIANCES,hardware,7,0,40.0,0.25,30.0,10.0,15.0,0.1643835616438356,0.9891598915989159,0.98
HOME AND KITCHEN I,hardware,7,0,12.0,0.35,7.800000000000001,4.199999999999999,6.299999999999999,0.042739726027397264,0.9932616301671634,0.98
HOME AND KITCHEN II,hardware,7,0,12.0,0.35,7.800000000000001,4.199999999999999,6.299999999999999,0.042739726027397264,0.9932616301671634,0.98
LAWN AND GARDEN,hardware,7,0,8.0,0.35,5.2,2.8,4.199999999999999,0.02849315068493151,0.9932616301671634,0.98
PLAYERS AND ELECTRONICS,hardware,7,0,50.0,0.2,40.0,10.0,15.0,0.2191780821917808,0.9855985598559855,0.98
LADIESWEAR,hardware,7,0,15.0,0.45,8.25,6.75,10.125,0.045205479452054796,0.9955551065764219,0.98
LINGERIE,hardware,7,0,10.0,0.45,5.5,4.5,6.75,0.030136986301369864,0.9955551065764219,0.98
