family,P50,P80,P90,P95,P98
AUTOMOTIVE,0.45717592592592593,0.7534722222222222,0.8576388888888888,0.9097222222222222,0.9618055555555556
BABY CARE,0.84375,0.8660714285714286,0.9241071428571429,0.9434523809523809,0.9642857142857143
BEAUTY,0.38773148148148145,0.6828703703703703,0.8368055555555556,0.9039351851851852,0.9479166666666666
BEVERAGES,0.6377314814814815,0.7650462962962963,0.84375,0.9201388888888888,0.9618055555555556
BOOKS,0.9807692307692307,0.9807692307692307,0.9831730769230769,0.9855769230769231,0.9951923076923077
BREAD/BAKERY,0.6412037037037037,0.7928240740740741,0.8703703703703703,0.9097222222222222,0.9513888888888888
CELEBRATION,0.5127314814814815,0.8090277777777778,0.9004629629629629,0.9386574074074074,0.9699074074074074
CLEANING,0.7395833333333334,0.8206018518518519,0.9039351851851852,0.9432870370370371,0.9664351851851852
DAIRY,0.6701388888888888,0.7893518518518519,0.8888888888888888,0.9305555555555556,0.9722222222222222
DELI,0.6296296296296297,0.8078703703703703,0.8680555555555556,0.9212962962962963,0.9675925925925926
EGGS,0.5034722222222222,0.7754629629629629,0.9039351851851852,0.9363425925925926,0.9675925925925926
FROZEN FOODS,0.4826388888888889,0.7615740740740741,0.8865740740740741,0.9270833333333334,0.9618055555555556
GROCERY I,0.6168981481481481,0.7534722222222222,0.8321759259259259,0.8865740740740741,0.9305555555555556
GROCERY II,0.6134259259259259,0.8368055555555556,0.9571759259259259,0.9814814814814815,0.9895833333333334
HARDWARE,0.5439814814814815,0.7685185185185185,0.90625,0.9537037037037037,0.9814814814814815
HOME AND KITCHEN I,0.3425925925925926,0.6550925925925926,0.8101851851851852,0.8611111111111112,0.9710648148148148
HOME AND KITCHEN II,0.5358796296296297,0.7766203703703703,0.9131944444444444,0.9282407407407407,0.96875
HOME APPLIANCES,0.8541666666666666,0.8946759259259259,0.9201388888888888,0.9791666666666666,0.9918981481481481
HOME CARE,0.6782407407407407,0.8182870370370371,0.8993055555555556,0.9560185185185185,0.9780092592592593
LADIESWEAR,0.6349431818181818,0.8579545454545454,0.9360795454545454,0.9659090909090909,0.9857954545454546
LAWN AND GARDEN,0.6482843137254902,0.8468137254901961,0.9154411764705882,0.9607843137254902,0.9828431372549019
LINGERIE,0.47685185185185186,0.7719907407407407,0.8460648148148148,0.9108796296296297,0.9432870370370371
"LIQUOR,WINE,BEER",0.4791666666666667,0.7453703703703703,0.8842592592592593,0.9166666666666666,0.9467592592592593
MAGAZINES,0.4097222222222222,0.7175925925925926,0.8657407407407407,0.8923611111111112,0.9363425925925926
MEATS,0.5358796296296297,0.7673611111111112,0.8784722222222222,0.9236111111111112,0.9583333333333334
PERSONAL CARE,0.59375,0.7407407407407407,0.8483796296296297,0.9189814814814815,0.9490740740740741
PET SUPPLIES,0.5347222222222222,0.7905092592592593,0.8576388888888888,0.9432870370370371,0.9837962962962963
PLAYERS AND ELECTRONICS,0.4548611111111111,0.7488425925925926,0.8981481481481481,0.9236111111111112,0.9710648148148148
POULTRY,0.5798611111111112,0.8032407407407407,0.9097222222222222,0.9317129629629629,0.9618055555555556
PREPARED FOODS,0.4837962962962963,0.7696759259259259,0.8796296296296297,0.9282407407407407,0.9641203703703703
PRODUCE,0.625,0.8043981481481481,0.8865740740740741,0.9363425925925926,0.96875
SCHOOL AND OFFICE SUPPLIES,0.5613425925925926,0.6435185185185185,0.7037037037037037,0.7326388888888888,0.7905092592592593
SEAFOOD,0.49421296296296297,0.7395833333333334,0.8703703703703703,0.9270833333333334,0.9722222222222222
