date,units
2016-01-01,16433.395
2016-01-02,1.0666774e+06
2016-01-03,1.2267358e+06
2016-01-04,955956.9
2016-01-05,835320.44
2016-01-06,821685.7
2016-01-07,653504.4
2016-01-08,713608.3
2016-01-09,989209.44
2016-01-10,1.0946939e+06
2016-01-11,705495.25
2016-01-12,647058.44
2016-01-13,660045.3
2016-01-14,561972.6
2016-01-15,671027.1
2016-01-16,959827.1
2016-01-17,1.0579974e+06
2016-01-18,709784.25
2016-01-19,630929.75
2016-01-20,738744.0
2016-01-21,552820.75
2016-01-22,648431.44
2016-01-23,906754.8
2016-01-24,980927.75
2016-01-25,658090.7
2016-01-26,609465.8
2016-01-27,647254.7
2016-01-28,533709.9
2016-01-29,660492.75
2016-01-30,969938.4
2016-01-31,1.0932112e+06
2016-02-01,872063.3
2016-02-02,765233.2
2016-02-03,772360.94
2016-02-04,650328.2
2016-02-05,768586.5
2016-02-06,941954.06
2016-02-07,697791.6
2016-02-08,636542.7
2016-02-09,746939.6
2016-02-10,790988.7
2016-02-11,646376.4
2016-02-12,698152.06
2016-02-13,859023.0
2016-02-14,940214.5
2016-02-15,746671.3
2016-02-16,719111.9
2016-02-17,723794.75
2016-02-18,570072.7
2016-02-19,672510.1
2016-02-20,883790.2
2016-02-21,991384.25
2016-02-22,698907.6
2016-02-23,641329.06
2016-02-24,675573.4
2016-02-25,557959.3
2016-02-26,641922.8
2016-02-27,916704.06
2016-02-28,994502.75
2016-02-29,726619.75
2016-03-01,897927.6
2016-03-02,878452.4
2016-03-03,671564.75
2016-03-04,747546.8
2016-03-05,1.0286207e+06
2016-03-06,1.0789585e+06
2016-03-07,738126.5
2016-03-08,642291.4
2016-03-09,694645.9
2016-03-10,572491.9
2016-03-11,664893.5
2016-03-12,898101.1
2016-03-13,954980.3
2016-03-14,668066.4
2016-03-15,668186.7
2016-03-16,739805.4
2016-03-17,580452.5
2016-03-18,666756.8
2016-03-19,895038.5
2016-03-20,929605.56
2016-03-21,690469.8
2016-03-22,622695.8
2016-03-23,714881.2
2016-03-24,660489.9
2016-03-25,633524.2
2016-03-26,800133.5
2016-03-27,833336.06
2016-03-28,661057.9
2016-03-29,621166.06
2016-03-30,660139.0
2016-03-31,617374.3
2016-04-01,872467.3
2016-04-02,1.1508246e+06
2016-04-03,1.2669082e+06
2016-04-04,795237.2
2016-04-05,725750.1
2016-04-06,744784.8
2016-04-07,587939.75
2016-04-08,689727.2
2016-04-09,927981.4
2016-04-10,1.00887675e+06
2016-04-11,665348.94
2016-04-12,651657.06
2016-04-13,672611.5
2016-04-14,546785.2
2016-04-15,667606.3
2016-04-16,862121.5
2016-04-17,1.2718338e+06
2016-04-18,1.3459206e+06
2016-04-19,1.1520892e+06
2016-04-20,1.0624262e+06
2016-04-21,1.00107975e+06
2016-04-22,857059.25
2016-04-23,1.0221431e+06
2016-04-24,1.03936994e+06
2016-04-25,680000.75
2016-04-26,704799.44
2016-04-27,670288.1
2016-04-28,543339.9
2016-04-29,708711.44
2016-04-30,1.0673358e+06
2016-05-01,1.2701212e+06
2016-05-02,973985.7
2016-05-03,792205.56
2016-05-04,798654.44
2016-05-05,648701.6
2016-05-06,761422.5
2016-05-07,1.0711928e+06
2016-05-08,820824.6
2016-05-09,771767.6
2016-05-10,693010.5
2016-05-11,727543.44
2016-05-12,603394.2
2016-05-13,666833.9
2016-05-14,932869.5
2016-05-15,1.0703316e+06
2016-05-16,748112.7
2016-05-17,661930.8
2016-05-18,671232.94
2016-05-19,581470.56
2016-05-20,706024.06
2016-05-21,910757.2
2016-05-22,1.0306716e+06
2016-05-23,695004.7
2016-05-24,606377.2
2016-05-25,637512.06
2016-05-26,571968.6
2016-05-27,852689.25
2016-05-28,816187.2
2016-05-29,959853.7
2016-05-30,752452.44
2016-05-31,974328.0
2016-06-01,811525.3
2016-06-02,694535.94
2016-06-03,742363.06
2016-06-04,1.0119966e+06
2016-06-05,1.1237344e+06
2016-06-06,729894.25
2016-06-07,658714.6
2016-06-08,696747.56
2016-06-09,547139.6
2016-06-10,637354.3
2016-06-11,845838.2
2016-06-12,947479.75
2016-06-13,685382.2
2016-06-14,622267.75
2016-06-15,708327.6
2016-06-16,620526.25
2016-06-17,737897.44
2016-06-18,972971.1
2016-06-19,837363.0
2016-06-20,735754.4
2016-06-21,679248.0
2016-06-22,677730.6
2016-06-23,559653.3
2016-06-24,641812.7
2016-06-25,860296.8
2016-06-26,954344.7
2016-06-27,684735.6
2016-06-28,596948.94
2016-06-29,632489.5
2016-06-30,554144.9
2016-07-01,857027.56
2016-07-02,1.0784851e+06
2016-07-03,1.1267138e+06
2016-07-04,850891.6
2016-07-05,728011.56
2016-07-06,752110.94
2016-07-07,591702.75
2016-07-08,688563.4
2016-07-09,868260.0
2016-07-10,932486.3
2016-07-11,688436.1
2016-07-12,627039.75
2016-07-13,642494.4
2016-07-14,535124.3
2016-07-15,675032.44
2016-07-16,887192.9
2016-07-17,932586.7
2016-07-18,702619.75
2016-07-19,633176.3
2016-07-20,686848.9
2016-07-21,578823.7
2016-07-22,646633.6
2016-07-23,822292.5
2016-07-24,847867.7
2016-07-25,697383.6
2016-07-26,622771.94
2016-07-27,651122.0
2016-07-28,533256.25
2016-07-29,669585.8
2016-07-30,910213.9
2016-07-31,997916.94
2016-08-01,895580.4
2016-08-02,777592.8
2016-08-03,779844.8
2016-08-04,622883.1
2016-08-05,704092.75
2016-08-06,858903.2
2016-08-07,904321.44
2016-08-08,715195.56
2016-08-09,635539.0
2016-08-10,658457.44
2016-08-11,596729.25
2016-08-12,745662.5
2016-08-13,714905.94
2016-08-14,761826.1
2016-08-15,720032.3
2016-08-16,718671.6
2016-08-17,725945.7
2016-08-18,577350.5
2016-08-19,678767.1
2016-08-20,828986.3
2016-08-21,901870.1
2016-08-22,714866.25
2016-08-23,660820.0
2016-08-24,674613.06
2016-08-25,554421.5
2016-08-26,646698.25
2016-08-27,791047.56
2016-08-28,858802.44
2016-08-29,671845.75
2016-08-30,624711.3
2016-08-31,731430.1
2016-09-01,718105.56
2016-09-02,837129.56
2016-09-03,1.0575812e+06
2016-09-04,1.1099859e+06
2016-09-05,813763.3
2016-09-06,751583.0
2016-09-07,738543.94
2016-09-08,595849.3
