family,rmsle,wape,units,bias
GROCERY I,0.17276299319397478,0.12936696530533762,3980412.4799999995,140.98472861006496
BEVERAGES,0.24312407514711268,0.18645144059351543,3005407.0,220.06579995219047
PRODUCE,0.15599464527963783,0.10781132201201375,1977480.349,79.68407104251222
CLEANING,0.30873880936099257,0.24860139966118605,1065243.0,80.07677066333851
DAIRY,0.16941061327639872,0.12836973852971076,721034.0,55.08072788521263
BREAD/BAKERY,0.1963146005598038,0.13538058981271855,466795.49399999995,27.98873854348848
POULTRY,0.2232176901966949,0.1554711817757799,323560.24199999997,21.182440192886506
MEATS,0.21543765179180147,0.13969380456144947,321070.46400000004,5.487221348222435
PERSONAL CARE,0.23619694457595214,0.17808889199677877,277631.0,9.012223035423153
DELI,0.20207985128233177,0.1453092386306867,261902.88,16.60003738989253
HOME CARE,0.25371416754148385,0.21544286210832309,251893.0,27.961016288413322
EGGS,0.31314207108890496,0.17944535002934942,172529.0,-4.22274853904281
FROZEN FOODS,0.2948704926795227,0.19289605486133635,110014.158,-2.3048775230324217
"LIQUOR,WINE,BEER",0.48253331567703295,0.29101161782593615,84091.0,-11.626546485373414
PREPARED FOODS,0.28252919948779864,0.17649037913959653,75871.654,-0.6614745681155633
SCHOOL AND OFFICE SUPPLIES,1.3315480194514133,0.9425052402445286,51795.0,-55.93194946421859
HOME AND KITCHEN I,0.501214628088873,0.3589442676636193,27020.0,-7.19627446993937
HOME AND KITCHEN II,0.45759571639762636,0.3461315738577566,26789.0,-2.1736296691674184
GROCERY II,0.6204169531289833,0.35985179997456185,25031.0,2.1641242290593796
SEAFOOD,0.5214653157410116,0.2380811285351675,17260.919,-0.9897752163432408
LAWN AND GARDEN,0.4511823327387969,0.3046725317816902,12908.0,0.5526274195959522
CELEBRATION,0.562074157315948,0.39904046541567123,10768.0,-0.3286201802718918
PLAYERS AND ELECTRONICS,0.4651077761363208,0.30034411877508294,10084.0,-1.0897232448290297
LADIESWEAR,0.5720796635950874,0.39386280526264084,8711.0,1.3837716757869174
PET SUPPLIES,0.48059291020726425,0.3269206830556914,7283.0,-0.09720518017782113
LINGERIE,0.6362831427733767,0.5069222335569044,6716.0,-1.611607902787247
AUTOMOTIVE,0.5210711951757316,0.3992822764909228,6381.0,-0.7313658680693826
MAGAZINES,0.5219371823441356,0.3970212923499713,6146.0,-1.5240208951419911
BEAUTY,0.49959759585798874,0.3755229311453854,5757.0,-1.4298191465085666
HARDWARE,0.5377351002014902,0.7123523263740622,1252.0,-0.3492580916013881
HOME APPLIANCES,0.30639990171752396,1.211333133111472,173.0,-0.08443375946849062
BABY CARE,0.3461800997108233,1.0379926823718724,160.0,-0.17803159546374803
BOOKS,0.10487855185329223,1.0434679061778387,9.0,-0.020694203929186836
