horizon,rmsle,wape,n
1,0.4329714133953429,0.1409714183235913,1729.0
2,0.43416010518273845,0.1539160005527115,1729.0
3,0.4409972552454135,0.12566897847811823,1729.0
4,0.43850633881361856,0.1300957774069358,1729.0
5,0.4637561484332752,0.17470653964143426,1729.0
6,0.42186787352443256,0.1413770270049518,1729.0
7,0.44323180513828775,0.13901465723330603,1729.0
8,0.4539154926812764,0.11152700127460949,1729.0
9,0.46800063360574434,0.12938748192367736,1729.0
10,0.44426384765281596,0.13372959249082686,1729.0
11,0.46285872343277984,0.14196097936080576,1729.0
12,0.5229507820801264,0.184323339932346,1729.0
13,0.5013900946265085,0.32000696742428,1729.0
14,0.48701780321237276,0.286297116751916,1729.0
15,0.4797408333313903,0.13634598310235074,1729.0
16,0.4780984800892296,0.125618569745922,1729.0
