policy,family,group,holding_cost,stockout_cost,waste_cost,total_cost,demand,sold,lost,expired,order_qty,received,on_hand_close,stockout_days,n,fill_rate
P1_moving_avg_7d,AUTOMOTIVE,hardware,71.13095890410958,7498.799999999999,0.0,7569.930958904109,12694.0,10611.0,2083.0,0.0,10644.285714285714,10714.92857142857,18544.85714285714,420,1728,0.8359067275878368
P1_moving_avg_7d,BABY CARE,grocery,6.026125244618395,230.94642857142858,0.0,236.97255381604697,320.0,217.35714285714286,102.64285714285714,0.0,203.0,210.42857142857142,1955.142857142857,96,1344,0.6792410714285715
P1_moving_avg_7d,BEAUTY,grocery,15.631164383561645,5504.25,0.0,5519.881164383562,10534.0,8437.142857142857,2096.8571428571427,0.0,8653.57142857143,8234.714285714286,7022.0,516,1728,0.8009438823944235
P1_moving_avg_7d,BEVERAGES,grocery,1543.829236790607,275923.5428571429,0.0,277467.3720939335,6244848.0,5631684.571428572,613163.4285714285,0.0,5600025.285714285,5570822.714285715,1878325.5714285714,550,1728,0.9018129138497161
P1_moving_avg_7d,BOOKS,grocery,2.5373287671232876,57.214285714285715,0.0,59.75161448140901,30.0,17.285714285714285,12.714285714285715,0.0,24.714285714285715,25.642857142857142,529.2142857142857,15,832,0.5761904761904761
P1_moving_avg_7d,BREAD/BAKERY,perishable,95.56253561888455,59633.836087499985,451.92127500000004,60181.31989811887,933803.263,858077.7568571429,75725.50614285714,463.509,855028.8774285715,852501.2488571429,143098.7712857143,636,1728,0.9189063594620818
P1_moving_avg_7d,CELEBRATION,grocery,33.342837573385516,9238.199999999999,0.0,9271.542837573385,22730.0,18330.85714285714,4399.142857142857,0.0,18357.714285714286,18412.428571428572,18723.285714285714,493,1728,0.8064609389730375
P1_moving_avg_7d,CLEANING,grocery,1685.4443982387475,305156.5714285714,0.0,306842.01582681015,2213103.0,1941852.7142857143,271250.28571428574,0.0,1886202.2857142857,1878900.7142857143,1093666.142857143,499,1728,0.8774344051251634
P1_moving_avg_7d,DAIRY,perishable,237.14446966731902,62384.19428571429,0.0,62621.338755381614,1474726.0,1359199.7142857143,115526.28571428571,0.0,1349991.5714285714,1343601.857142857,240438.14285714287,582,1728,0.921662542252401
P1_moving_avg_7d,DELI,perishable,189.69972410958903,85152.49071428571,0.0,85342.19043839531,532654.37,485347.4307142857,47306.93928571429,0.0,484997.04028571426,483344.36585714284,98914.85614285714,638,1728,0.9111864241614797
P1_moving_avg_7d,EGGS,perishable,153.2792025440313,33008.85,0.0,33162.12920254403,346437.0,297535.0,48902.0,0.0,297090.5714285714,293754.28571428574,87759.85714285714,633,1728,0.8588430219635893
P1_moving_avg_7d,FROZEN FOODS,grocery,173.25221477495109,44921.47178571429,0.0,45094.72400048924,225116.794,195169.14614285715,29947.647857142856,0.0,196834.63885714285,197223.99014285713,84316.07785714285,560,1728,0.866968397492624
P1_moving_avg_7d,GROCERY I,grocery,2067.213935029354,389743.8522857143,0.0,391811.0662207437,7944594.2,7295021.112857142,649573.0871428571,0.0,7254332.651428571,7183633.944285714,1886332.7157142858,561,1728,0.9182370967238507
P1_moving_avg_7d,GROCERY II,grocery,73.00239041095891,9650.237142857144,0.0,9723.239533268103,57970.0,48222.28571428572,9747.714285714286,0.0,48133.28571428572,48542.0,45548.5,508,1728,0.8318489859286824
P1_moving_avg_7d,HARDWARE,hardware,34.54762720156556,2606.625,0.0,2641.172627201566,2523.0,2026.5,496.5,0.0,2038.0,1956.2857142857142,7759.928571428572,270,1728,0.8032104637336505
P1_moving_avg_7d,HOME AND KITCHEN I,hardware,453.52153620352254,51174.44999999999,0.0,51627.97153620351,53361.0,45238.07142857143,8122.928571428572,0.0,45543.21428571428,42841.142857142855,84889.92857142858,396,1728,0.847774056493908
P1_moving_avg_7d,HOME AND KITCHEN II,hardware,452.8533463796478,52483.94999999999,0.0,52936.80334637964,53193.0,44862.21428571428,8330.785714285714,0.0,44631.0,45157.92857142857,84764.85714285714,414,1728,0.8433856764182183
P1_moving_avg_7d,HOME APPLIANCES,hardware,142.01125244618396,1131.4285714285716,0.0,1273.4398238747553,439.0,363.57142857142856,75.42857142857143,0.0,318.5,351.35714285714283,6911.214285714286,70,1728,0.8281809306866255
P1_moving_avg_7d,HOME CARE,grocery,387.26682974559685,83838.21428571429,0.0,84225.48111545989,539852.0,483959.85714285716,55892.142857142855,0.0,477649.0,475684.71428571426,188469.85714285713,516,1728,0.8964676562147721
P1_moving_avg_7d,LADIESWEAR,hardware,182.87432729941293,27813.375,0.0,27996.24932729941,19207.0,16460.0,2747.0,0.0,15645.5,16468.0,32363.214285714286,246,1408,0.8569792263237361
P1_moving_avg_7d,LAWN AND GARDEN,hardware,108.73113502935422,12323.399999999998,0.0,12432.131135029353,27114.0,24179.85714285714,2934.142857142857,0.0,23936.928571428572,24485.428571428572,30528.357142857145,262,1632,0.8917849503155987
P1_moving_avg_7d,LINGERIE,hardware,82.09207436399217,17957.410714285714,0.0,18039.50278864971,12091.0,9430.642857142857,2660.357142857143,0.0,9952.285714285714,9398.142857142857,21791.714285714286,398,1728,0.7799721162139489
P1_moving_avg_7d,"LIQUOR,WINE,BEER",grocery,435.73326810176127,127907.57142857143,0.0,128343.30469667319,171405.0,128769.14285714286,42635.857142857145,0.0,135236.57142857142,135478.85714285713,106028.42857142857,566,1728,0.7512566311201123
P1_moving_avg_7d,MAGAZINES,grocery,12.283869863013697,3228.235714285714,0.0,3240.5195841487275,11901.0,9509.714285714286,2391.285714285714,0.0,9531.857142857143,9502.857142857143,8540.214285714286,471,1728,0.7990685056477848
P1_moving_avg_7d,MEATS,perishable,390.7186735812133,101992.92814285714,0.0,102383.64681643836,647039.448,579044.1625714286,67995.28542857143,0.0,582432.4152857143,582260.8632857143,142612.31585714285,611,1728,0.8949132303467046
P1_moving_avg_7d,PERSONAL CARE,grocery,365.32410958904103,124202.05714285714,0.0,124567.38125244618,553526.0,484524.85714285716,69001.14285714286,0.0,481900.4285714286,476290.14285714284,190490.42857142855,560,1728,0.8753425442397595
P1_moving_avg_7d,PET SUPPLIES,grocery,26.579999999999995,6112.221428571428,0.0,6138.801428571428,14606.0,12342.214285714286,2263.785714285714,0.0,12310.142857142857,12084.357142857143,9239.714285714286,488,1728,0.8450098785235031
P1_moving_avg_7d,PLAYERS AND ELECTRONICS,hardware,670.3874755381604,42484.28571428572,0.0,43154.67318982387,20270.0,17437.714285714286,2832.285714285714,0.0,17427.428571428572,17201.5,24469.142857142855,408,1728,0.8602720417224611
P1_moving_avg_7d,POULTRY,perishable,312.83538183170253,71044.98181714285,0.0,71357.81719897455,662687.824,596905.4334285714,65782.39057142856,0.0,601511.2718571429,598471.7728571428,139249.89557142855,683,1728,0.9007339682591956
P1_moving_avg_7d,PREPARED FOODS,perishable,53.051952739726026,42906.59314285714,843.7534285714282,43803.3985241683,153149.389,138847.19128571427,14302.197714285714,281.2511428571427,139199.598,138753.33985714286,25818.617,674,1728,0.906612766739241
P1_moving_avg_7d,PRODUCE,perishable,384.4944938630137,170549.34958285713,0.0,170933.84407672015,4000823.327,3684991.1981428573,315832.1288571429,0.0,3666295.9695714284,3645609.842285714,668288.0488571429,559,1728,0.9210582165111579
P1_moving_avg_7d,SCHOOL AND OFFICE SUPPLIES,grocery,28.590146771037176,42612.17142857143,0.0,42640.76157534247,57898.0,34224.57142857143,23673.428571428572,0.0,44230.71428571428,37186.92857142857,23189.785714285714,376,1728,0.5911183707307925
P1_moving_avg_7d,SEAFOOD,perishable,28.39383493150685,12277.616625,3956.763,16262.773459931506,34560.872,29883.684714285715,4677.187285714285,753.6691428571429,30628.364857142857,30578.45342857143,7896.190285714286,643,1728,0.864668134365525
P2_model_P50,AUTOMOTIVE,hardware,32.141248453252125,7451.077277159079,0.0,7483.218525612331,12694.0,10624.256311900255,2069.7436880997443,0.0,10596.710887048313,10591.844488751902,8379.68263245502,550,1728,0.8369510250433476
P2_model_P50,BABY CARE,grocery,5.743712790826897,550.2726494390656,0.0,556.0163622298926,320.0,75.43437802708193,244.56562197291805,0.0,58.68406639415928,77.31446335075078,1863.5157054682818,191,1344,0.23573243133463104
