family,raw,corrected
AUTOMOTIVE,0.8553240740740741,0.8576388888888888
BABY CARE,0.9211309523809523,0.9241071428571429
BEAUTY,0.7916666666666666,0.8368055555555556
BEVERAGES,0.8055555555555556,0.84375
BOOKS,0.9831730769230769,0.9831730769230769
BREAD/BAKERY,0.8611111111111112,0.8703703703703703
CELEBRATION,0.8888888888888888,0.9004629629629629
CLEANING,0.8738425925925926,0.9039351851851852
DAIRY,0.8553240740740741,0.8888888888888888
DELI,0.8726851851851852,0.8680555555555556
EGGS,0.8726851851851852,0.9039351851851852
FROZEN FOODS,0.8726851851851852,0.8865740740740741
GROCERY I,0.8043981481481481,0.8321759259259259
GROCERY II,0.9178240740740741,0.9571759259259259
HARDWARE,0.8865740740740741,0.90625
HOME AND KITCHEN I,0.8159722222222222,0.8101851851851852
HOME AND KITCHEN II,0.8773148148148148,0.9131944444444444
HOME APPLIANCES,0.9386574074074074,0.9201388888888888
HOME CARE,0.875,0.8993055555555556
LADIESWEAR,0.9332386363636364,0.9360795454545454
LAWN AND GARDEN,0.9178921568627451,0.9154411764705882
LINGERIE,0.8414351851851852,0.8460648148148148
"LIQUOR,WINE,BEER",0.8518518518518519,0.8842592592592593
MAGAZINES,0.8252314814814815,0.8657407407407407
MEATS,0.8541666666666666,0.8784722222222222
PERSONAL CARE,0.8090277777777778,0.8483796296296297
PET SUPPLIES,0.8854166666666666,0.8576388888888888
PLAYERS AND ELECTRONICS,0.8587962962962963,0.8981481481481481
POULTRY,0.875,0.9097222222222222
PREPARED FOODS,0.8692129629629629,0.8796296296296297
PRODUCE,0.8518518518518519,0.8865740740740741
SCHOOL AND OFFICE SUPPLIES,0.7037037037037037,0.7037037037037037
SEAFOOD,0.875,0.8703703703703703
