group,policy,fill_rate,stockout_days,stockout_day_rate,mean_units_held,units_sold,units_lost,waste_units,waste_rate,holding_cost,stockout_cost,waste_cost,total_cost
grocery,P1_moving_avg_7d,0.9016986660735934,6770,0.32070108953102794,173199.2837276786,16292282.830428572,1776151.1635714285,0.0,0.0,6856.057855283758,1428326.7576428573,0.0,1435182.815498141
hardware,P1_moving_avg_7d,0.8492601568433358,2880,0.2367642222952976,9750.725446428572,170609.57142857142,30282.428571428572,0.0,0.0,2198.149733365949,215473.72499999998,0.0,217671.87473336593
perishable,P1_moving_avg_7d,0.9139471751807294,5658,0.36759355509355507,48564.896718749995,8029831.572000001,756049.921,1498.4292857142855,0.0001866078101736659,1845.1802688869861,638950.8403982143,5252.437703571428,646048.4583706728
grocery,P2_model_P50,0.9174352315154298,8516,0.4034107058266225,109232.48100394377,16576617.924406655,1491816.069593345,0.0,0.0,4143.043439262907,1249704.8807166307,0.0,1253847.9241558937
hardware,P2_model_P50,0.837282481886067,3995,0.32842814863531733,4424.37093756154,168203.35235105577,32688.647648944258,0.0,0.0,952.2105471991106,230153.5057324165,0.0,231105.7162796156
perishable,P2_model_P50,0.9610418722515035,5598,0.3636954261954262,35779.754321953405,8443599.999412555,342281.4935874451,3032.797264535632,0.0003591829628057502,1284.2120072981731,322370.31306303595,9351.708793011272,333006.23386334535
grocery,P3_newsvendor_q*,0.9875812310443662,563,0.026669824727617242,565175.5681377915,17844046.286838397,224387.70716160274,0.0,0.0,23252.86646535669,219553.5150742845,0.0,242806.3815396412
hardware,P3_newsvendor_q*,0.995811136501362,20,0.001644195988161789,62873.11546189514,200050.4908340316,841.5091659684227,0.0,0.0,13469.806247377292,5390.925602014751,0.0,18860.731849392043
perishable,P3_newsvendor_q*,0.963492253610025,5509,0.3579132016632017,37901.52580960137,8465128.759641182,320752.73335882026,3032.797264535632,0.00035826947830905597,1323.2758549611713,310744.7825395785,9351.708793011272,321419.76718755095
grocery,P4_model_P95,0.9787292439156218,1072,0.05078162008526765,392548.58941239957,17684104.74168694,384329.2523130587,0.0,0.0,16197.553612559057,342276.01581991697,0.0,358473.56943247607
hardware,P4_model_P95,0.9873074879779531,64,0.005261427162117725,37675.62393260584,198342.17587486695,2549.8241251330264,0.0,0.0,8394.912468767772,16348.25821115889,0.0,24743.17067992666
perishable,P4_model_P95,0.9955029256491393,498,0.03235446985446985,118285.79458618359,8746370.730688129,39510.76231187179,25161.121541596905,0.002876749947645694,4594.343672731112,32567.45573421308,74466.12729142216,111627.92669836635
grocery,P5_perfect_foresight,1.0,0,0.0,14.313616071438386,18068433.994000003,1.0014034046434972e-10,0.0,0.0,1.4778522504896077,6.774207861326431e-11,0.0,1.4778522505573495
hardware,P5_perfect_foresight,1.0,0,0.0,303.7008928571432,200892.0,4.8405723873656825e-14,0.0,0.0,79.84580724070457,4.406808251644633e-13,0.0,79.84580724070503
perishable,P5_perfect_foresight,1.0,0,0.0,1.2106093905117632e-11,8785881.493,1.9362511594067655e-10,0.0,0.0,4.3823540838823405e-13,1.6894994070426608e-10,0.0,1.6938817611265427e-10
