window,policy,fill_rate,stockout_days,waste_units,total_cost
07-15..07-30 (replica forecasts),P1_moving_avg_7d,0.8803407614095986,7923,716.6751428571429,1408682.1488970588
07-31..08-15 (B delivered forecasts),P1_moving_avg_7d,0.9310137032047503,7385,781.7541428571428,890220.9997051209
07-15..07-30 (replica forecasts),P2_model_P50,0.9210898544045585,9537,391.74528339813594,990166.0019305318
07-31..08-15 (B delivered forecasts),P2_model_P50,0.9412220365908418,8572,2641.051981137496,827793.872368323
07-15..07-30 (replica forecasts),P3_newsvendor_q*,0.9797532278720289,3227,391.74528339813594,284910.5134133281
07-31..08-15 (B delivered forecasts),P3_newsvendor_q*,0.9798882715628936,2865,2641.051981137496,298176.36716325604
07-15..07-30 (replica forecasts),P4_model_P95,0.9832324942018935,796,9885.565159586366,237063.9471578294
07-31..08-15 (B delivered forecasts),P4_model_P95,0.9852790549056266,838,15275.556382010542,257780.71965293965
07-15..07-30 (replica forecasts),P5_perfect_foresight,1.0,0,0.0,71.64764677115042
07-31..08-15 (B delivered forecasts),P5_perfect_foresight,1.0,0,0.0,9.676012720281342
