store_nbr,family,city,state,store_type,cluster,mean_units,total_units,zero_share,group,lead_time,shelf_life,q_star
1,AUTOMOTIVE,Quito,Pichincha,D,13,3.2531195,5475.0,0.12948793,hardware,7,0,0.98
1,BEAUTY,Quito,Pichincha,D,13,2.4099822,4056.0,0.14891112,grocery,3,0,0.98
1,BEVERAGES,Quito,Pichincha,D,13,1588.6923,2.673769e+06,0.0029429076,grocery,2,0,0.98
1,BOOKS,Quito,Pichincha,D,13,0.6895425,211.0,0.55590063,grocery,3,0,0.98
1,BREAD/BAKERY,Quito,Pichincha,D,13,338.6763,569992.2,0.0029429076,perishable,1,2,0.5
1,CELEBRATION,Quito,Pichincha,D,13,12.726308,16786.0,0.23970038,grocery,3,0,0.98
1,CLEANING,Quito,Pichincha,D,13,640.83484,1.078525e+06,0.0029429076,grocery,2,0,0.98
1,DAIRY,Quito,Pichincha,D,13,626.47296,1.054354e+06,0.0029429076,perishable,1,5,0.5
1,DELI,Quito,Pichincha,D,13,123.016685,207037.08,0.0029429076,perishable,1,3,0.5
1,EGGS,Quito,Pichincha,D,13,140.52644,236506.0,0.0029429076,perishable,1,5,0.5
1,FROZEN FOODS,Quito,Pichincha,D,13,129.48686,217926.39,0.0029429076,grocery,2,0,0.98
1,GROCERY I,Quito,Pichincha,D,13,2224.4937,3.743823e+06,0.0029429076,grocery,2,0,0.98
1,GROCERY II,Quito,Pichincha,D,13,21.855616,36783.0,0.007062978,grocery,3,0,0.98
1,HARDWARE,Quito,Pichincha,D,13,1.600713,2694.0,0.30782813,hardware,7,0,0.98
1,HOME AND KITCHEN I,Quito,Pichincha,D,13,18.958302,25006.0,0.12059925,hardware,7,0,0.98
1,HOME AND KITCHEN II,Quito,Pichincha,D,13,16.52464,21796.0,0.12434457,hardware,7,0,0.98
1,HOME APPLIANCES,Quito,Pichincha,D,13,0.33828774,569.0,0.74558306,hardware,7,0,0.98
1,HOME CARE,Quito,Pichincha,D,13,128.93253,170062.0,0.20674157,grocery,2,0,0.98
1,LADIESWEAR,Quito,Pichincha,D,13,12.005307,15835.0,0.23146068,hardware,7,0,0.98
1,LAWN AND GARDEN,Quito,Pichincha,D,13,9.013072,15169.0,0.03884638,hardware,7,0,0.98
1,LINGERIE,Quito,Pichincha,D,13,6.7225194,11314.0,0.071806945,hardware,7,0,0.98
1,"LIQUOR,WINE,BEER",Quito,Pichincha,D,13,101.07606,170111.0,0.10888758,grocery,2,0,0.98
1,MAGAZINES,Quito,Pichincha,D,13,4.0932527,5399.0,0.28689137,grocery,3,0,0.98
1,MEATS,Quito,Pichincha,D,13,313.49277,527608.3,0.0029429076,perishable,1,3,0.5
1,PERSONAL CARE,Quito,Pichincha,D,13,129.25371,217534.0,0.0029429076,grocery,2,0,0.98
1,PET SUPPLIES,Quito,Pichincha,D,13,4.4351783,5850.0,0.2411985,grocery,3,0,0.98
1,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,13,6.757392,8913.0,0.23745318,hardware,7,0,0.98
1,POULTRY,Quito,Pichincha,D,13,284.38583,478621.38,0.0029429076,perishable,1,3,0.5
1,PREPARED FOODS,Quito,Pichincha,D,13,80.79594,135979.56,0.0029429076,perishable,1,2,0.5
1,PRODUCE,Quito,Pichincha,D,13,1517.5963,2.44333e+06,0.06211562,perishable,1,4,0.5618265777321704
1,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,13,0.25417766,289.0,0.8048569,grocery,3,0,0.98
1,SEAFOOD,Quito,Pichincha,D,13,25.959007,43689.008,0.0029429076,perishable,1,2,0.5
2,AUTOMOTIVE,Quito,Pichincha,D,13,5.4070115,9100.0,0.036492053,hardware,7,0,0.98
2,BABY CARE,Quito,Pichincha,D,13,0.21265823,84.0,0.8223844,grocery,3,0,0.98
2,BEAUTY,Quito,Pichincha,D,13,4.7153893,7936.0,0.044143613,grocery,3,0,0.98
2,BEVERAGES,Quito,Pichincha,D,13,2468.1592,4.153912e+06,0.002354326,grocery,2,0,0.98
2,BOOKS,Quito,Pichincha,D,13,0.78104573,239.0,0.60559005,grocery,3,0,0.98
2,BREAD/BAKERY,Quito,Pichincha,D,13,549.1817,924272.8,0.002354326,perishable,1,2,0.5
2,CELEBRATION,Quito,Pichincha,D,13,10.147081,13384.0,0.22996254,grocery,3,0,0.98
2,CLEANING,Quito,Pichincha,D,13,966.0541,1.625869e+06,0.002354326,grocery,2,0,0.98
2,DAIRY,Quito,Pichincha,D,13,853.74927,1.43686e+06,0.002354326,perishable,1,5,0.5
2,DELI,Quito,Pichincha,D,13,244.49501,411485.1,0.002354326,perishable,1,3,0.5
2,EGGS,Quito,Pichincha,D,13,187.00891,314736.0,0.002354326,perishable,1,5,0.5
2,FROZEN FOODS,Quito,Pichincha,D,13,160.8135,270649.12,0.002354326,grocery,2,0,0.98
2,GROCERY I,Quito,Pichincha,D,13,3916.6394,6.591704e+06,0.0029429076,grocery,2,0,0.98
2,GROCERY II,Quito,Pichincha,D,13,31.304218,52685.0,0.002354326,grocery,3,0,0.98
2,HARDWARE,Quito,Pichincha,D,13,1.1724138,1972.0,0.39045936,hardware,7,0,0.98
2,HOME AND KITCHEN I,Quito,Pichincha,D,13,22.478394,29649.0,0.11460674,hardware,7,0,0.98
2,HOME AND KITCHEN II,Quito,Pichincha,D,13,18.395754,24264.0,0.117603,hardware,7,0,0.98
2,HOME APPLIANCES,Quito,Pichincha,D,13,0.49753088,806.0,0.6363081,hardware,7,0,0.98
2,HOME CARE,Quito,Pichincha,D,13,226.39955,298621.0,0.20674157,grocery,2,0,0.98
2,LADIESWEAR,Quito,Pichincha,D,13,22.394997,29539.0,0.22696629,hardware,7,0,0.98
2,LAWN AND GARDEN,Quito,Pichincha,D,13,8.237077,13863.0,0.04237787,hardware,7,0,0.98
2,LINGERIE,Quito,Pichincha,D,13,9.327986,15699.0,0.026486168,hardware,7,0,0.98
2,"LIQUOR,WINE,BEER",Quito,Pichincha,D,13,86.55496,145672.0,0.109476164,grocery,2,0,0.98
2,MAGAZINES,Quito,Pichincha,D,13,4.904328,6459.0,0.28507125,grocery,3,0,0.98
2,MEATS,Quito,Pichincha,D,13,505.00046,849915.75,0.002354326,perishable,1,3,0.5
2,PERSONAL CARE,Quito,Pichincha,D,13,263.123,442836.0,0.0029429076,grocery,2,0,0.98
2,PET SUPPLIES,Quito,Pichincha,D,13,6.929492,9140.0,0.22322097,grocery,3,0,0.98
2,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,13,7.2805157,9603.0,0.23146068,hardware,7,0,0.98
2,POULTRY,Quito,Pichincha,D,13,486.8927,819440.44,0.002354326,perishable,1,3,0.5
2,PREPARED FOODS,Quito,Pichincha,D,13,125.00445,210382.48,0.002354326,perishable,1,2,0.5
2,PRODUCE,Quito,Pichincha,D,13,1727.6982,2.7815942e+06,0.044895448,perishable,1,4,0.5618265777321704
2,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,13,0.6784141,770.0,0.62033015,grocery,3,0,0.98
2,SEAFOOD,Quito,Pichincha,D,13,32.232296,54246.957,0.002354326,perishable,1,2,0.5
3,AUTOMOTIVE,Quito,Pichincha,D,8,9.297089,15647.0,0.0064743967,hardware,7,0,0.98
3,BABY CARE,Quito,Pichincha,D,8,1.7012658,672.0,0.26277372,grocery,3,0,0.98
3,BEAUTY,Quito,Pichincha,D,8,9.619132,16189.0,0.0076515595,grocery,3,0,0.98
3,BEVERAGES,Quito,Pichincha,D,8,6744.854,1.1351589e+07,0.002354326,grocery,2,0,0.98
3,BOOKS,Quito,Pichincha,D,8,1.7589576,540.0,0.39009288,grocery,3,0,0.98
3,BREAD/BAKERY,Quito,Pichincha,D,8,1151.1464,1.9373794e+06,0.002354326,perishable,1,2,0.5
3,CELEBRATION,Quito,Pichincha,D,8,36.732372,48450.0,0.22696629,grocery,3,0,0.98
3,CLEANING,Quito,Pichincha,D,8,2064.4277,3.474432e+06,0.002354326,grocery,2,0,0.98
3,DAIRY,Quito,Pichincha,D,8,2042.0986,3.436852e+06,0.002354326,perishable,1,5,0.5
3,DELI,Quito,Pichincha,D,8,394.93167,664670.0,0.002354326,perishable,1,3,0.5
3,EGGS,Quito,Pichincha,D,8,522.8645,879981.0,0.002354326,perishable,1,5,0.5
3,FROZEN FOODS,Quito,Pichincha,D,8,449.5421,756579.4,0.002354326,grocery,2,0,0.98
3,GROCERY I,Quito,Pichincha,D,8,7706.7544,1.2970468e+07,0.002354326,grocery,2,0,0.98
3,GROCERY II,Quito,Pichincha,D,8,77.32145,130132.0,0.002354326,grocery,3,0,0.98
3,HARDWARE,Quito,Pichincha,D,8,3.0011883,5051.0,0.102413185,hardware,7,0,0.98
3,HOME AND KITCHEN I,Quito,Pichincha,D,8,55.812737,73617.0,0.11460674,hardware,7,0,0.98
3,HOME AND KITCHEN II,Quito,Pichincha,D,8,44.585293,58808.0,0.11460674,hardware,7,0,0.98
3,HOME APPLIANCES,Quito,Pichincha,D,8,1.9434543,3162.0,0.24893488,hardware,7,0,0.98
3,HOME CARE,Quito,Pichincha,D,8,414.16528,546284.0,0.2059925,grocery,2,0,0.98
3,LADIESWEAR,Quito,Pichincha,D,8,39.42229,51998.0,0.22921348,hardware,7,0,0.98
3,LAWN AND GARDEN,Quito,Pichincha,D,8,24.548426,41315.0,0.008828723,hardware,7,0,0.98
3,LINGERIE,Quito,Pichincha,D,8,27.546642,46361.0,0.0029429076,hardware,7,0,0.98
3,"LIQUOR,WINE,BEER",Quito,Pichincha,D,8,219.6744,369712.0,0.108299,grocery,2,0,0.98
3,MAGAZINES,Quito,Pichincha,D,8,15.547457,20476.0,0.22280571,grocery,3,0,0.98
3,MEATS,Quito,Pichincha,D,8,811.9362,1.3664886e+06,0.002354326,perishable,1,3,0.5
3,PERSONAL CARE,Quito,Pichincha,D,8,503.84253,847967.0,0.002354326,grocery,2,0,0.98
3,PET SUPPLIES,Quito,Pichincha,D,8,14.918878,19678.0,0.22247191,grocery,3,0,0.98
3,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,8,22.566338,29765.0,0.22696629,hardware,7,0,0.98
3,POULTRY,Quito,Pichincha,D,8,1132.0491,1.9052385e+06,0.002354326,perishable,1,3,0.5
3,PREPARED FOODS,Quito,Pichincha,D,8,367.72308,618877.94,0.002354326,perishable,1,2,0.5
3,PRODUCE,Quito,Pichincha,D,8,5349.8857,8.613316e+06,0.020295203,perishable,1,4,0.5618265777321704
3,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,8,1.1116974,1264.0,0.49783173,grocery,3,0,0.98
3,SEAFOOD,Quito,Pichincha,D,8,106.328156,178950.28,0.002354326,perishable,1,2,0.5
4,AUTOMOTIVE,Quito,Pichincha,D,9,4.0207963,6767.0,0.064743966,hardware,7,0,0.98
4,BABY CARE,Quito,Pichincha,D,9,0.09486166,24.0,0.8810409,grocery,3,0,0.98
4,BEAUTY,Quito,Pichincha,D,9,4.09388,6890.0,0.05061801,grocery,3,0,0.98
4,BEVERAGES,Quito,Pichincha,D,9,2179.5222,3.668136e+06,0.002354326,grocery,2,0,0.98
4,BOOKS,Quito,Pichincha,D,9,0.8636364,266.0,0.54320985,grocery,3,0,0.98
4,BREAD/BAKERY,Quito,Pichincha,D,9,405.7528,682882.0,0.002354326,perishable,1,2,0.5
4,CELEBRATION,Quito,Pichincha,D,9,8.149356,10749.0,0.23220974,grocery,3,0,0.98
4,CLEANING,Quito,Pichincha,D,9,885.2335,1.489848e+06,0.002354326,grocery,2,0,0.98
4,DAIRY,Quito,Pichincha,D,9,789.77185,1.329186e+06,0.002354326,perishable,1,5,0.5
4,DELI,Quito,Pichincha,D,9,216.1478,363776.75,0.002354326,perishable,1,3,0.5
4,EGGS,Quito,Pichincha,D,9,172.16637,289756.0,0.002354326,perishable,1,5,0.5
4,FROZEN FOODS,Quito,Pichincha,D,9,150.73355,253684.58,0.002354326,grocery,2,0,0.98
4,GROCERY I,Quito,Pichincha,D,9,3348.986,5.6363435e+06,0.002354326,grocery,2,0,0.98
4,GROCERY II,Quito,Pichincha,D,9,20.819963,35040.0,0.0029429076,grocery,3,0,0.98
4,HARDWARE,Quito,Pichincha,D,9,1.138608,1914.0,0.40954626,hardware,7,0,0.98
4,HOME AND KITCHEN I,Quito,Pichincha,D,9,17.649734,23280.0,0.11610487,hardware,7,0,0.98
4,HOME AND KITCHEN II,Quito,Pichincha,D,9,11.308567,14916.0,0.11985019,hardware,7,0,0.98
4,HOME APPLIANCES,Quito,Pichincha,D,9,0.405672,658.0,0.6916972,hardware,7,0,0.98
4,HOME CARE,Quito,Pichincha,D,9,196.30325,258924.0,0.2059925,grocery,2,0,0.98
4,LADIESWEAR,Quito,Pichincha,D,9,19.400303,25589.0,0.22696629,hardware,7,0,0.98
4,LAWN AND GARDEN,Quito,Pichincha,D,9,9.368984,15768.0,0.053560916,hardware,7,0,0.98
4,LINGERIE,Quito,Pichincha,D,9,4.6066546,7753.0,0.15832843,hardware,7,0,0.98
4,"LIQUOR,WINE,BEER",Quito,Pichincha,D,9,83.1943,140016.0,0.10888758,grocery,2,0,0.98
4,MAGAZINES,Quito,Pichincha,D,9,4.4605465,5879.0,0.28785607,grocery,3,0,0.98
4,MEATS,Quito,Pichincha,D,9,369.85764,622470.4,0.002354326,perishable,1,3,0.5
4,PERSONAL CARE,Quito,Pichincha,D,9,228.15388,383983.0,0.002354326,grocery,2,0,0.98
4,PET SUPPLIES,Quito,Pichincha,D,9,5.418499,7147.0,0.23370786,grocery,3,0,0.98
4,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,9,6.89765,9098.0,0.23295881,hardware,7,0,0.98
4,POULTRY,Quito,Pichincha,D,9,449.21066,756021.56,0.002354326,perishable,1,3,0.5
4,PREPARED FOODS,Quito,Pichincha,D,9,99.77734,167925.27,0.002354326,perishable,1,2,0.5
4,PRODUCE,Quito,Pichincha,D,9,1639.4958,2.6395882e+06,0.031365313,perishable,1,4,0.5618265777321704
4,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,9,0.3072871,350.0,0.778355,grocery,3,0,0.98
4,SEAFOOD,Quito,Pichincha,D,9,32.72197,55071.074,0.002354326,perishable,1,2,0.5
5,AUTOMOTIVE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,5.462864,9194.0,0.025309006,hardware,7,0,0.98
5,BABY CARE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0.6213873,215.0,0.61878455,grocery,3,0,0.98
5,BEAUTY,Santo Domingo,Santo Domingo de los Tsachilas,D,4,5.1598334,8684.0,0.021188935,grocery,3,0,0.98
5,BEVERAGES,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1505.5443,2.533831e+06,0.002354326,grocery,2,0,0.98
5,BOOKS,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0.7491857,230.0,0.55417955,grocery,3,0,0.98
5,BREAD/BAKERY,Santo Domingo,Santo Domingo de los Tsachilas,D,4,381.96945,642854.56,0.002354326,perishable,1,2,0.5
5,CELEBRATION,Santo Domingo,Santo Domingo de los Tsachilas,D,4,19.845337,26176.0,0.22696629,grocery,3,0,0.98
