family,group,q_star_analytic,q_star_tuned,tuning_cost_at_analytic,tuning_cost_at_tuned
AUTOMOTIVE,hardware,0.98,0.9,237.36980954174044,133.91725512040762
BABY CARE,grocery,0.98,0.98,39.46146345355935,39.46146345355935
BEAUTY,grocery,0.98,0.98,52.65891984609193,52.65891984609193
BEVERAGES,grocery,0.98,0.98,19732.823871657947,19732.823871657947
BOOKS,grocery,0.98,0.98,10.374963017284259,10.374963017284259
BREAD/BAKERY,perishable,0.5,0.9,15077.343372159772,3420.2307798254355
CELEBRATION,grocery,0.98,0.98,522.4581615661702,522.4581615661702
CLEANING,grocery,0.98,0.98,47024.867495565646,47024.867495565646
DAIRY,perishable,0.5,0.98,12259.971215735219,1629.4286690076804
DELI,perishable,0.5,0.98,22238.37257607043,602.2629986750487
EGGS,perishable,0.5,0.95,10084.57816699729,2111.6486483087065
FROZEN FOODS,grocery,0.98,0.98,880.7050649462551,880.7050649462551
GROCERY I,grocery,0.98,0.98,12483.15547428128,12483.15547428128
GROCERY II,grocery,0.98,0.98,3308.978731866935,3308.978731866935
HARDWARE,hardware,0.98,0.93,113.03933749477011,72.89363310342414
HOME AND KITCHEN I,hardware,0.98,0.93,2276.8704091145814,1183.8503678559614
HOME AND KITCHEN II,hardware,0.98,0.98,3793.2691312423653,3793.2691312423653
HOME APPLIANCES,hardware,0.98,0.9,390.35147726995416,217.07757482497132
HOME CARE,grocery,0.98,0.98,5375.337033130633,5375.337033130633
LADIESWEAR,hardware,0.98,0.9,471.32530838242076,265.38342822557786
LAWN AND GARDEN,hardware,0.98,0.85,331.89138576476034,202.32050124613033
LINGERIE,hardware,0.98,0.93,276.72561718784885,182.28224399462079
"LIQUOR,WINE,BEER",grocery,0.98,0.98,6862.010902414914,6862.010902414914
MAGAZINES,grocery,0.98,0.98,61.74168160690209,61.74168160690209
MEATS,perishable,0.5,0.95,30484.463989060197,2996.1046128608828
PERSONAL CARE,grocery,0.98,0.98,6210.343874989329,6210.343874989329
PET SUPPLIES,grocery,0.98,0.9,105.77824627819778,68.22544800427728
PLAYERS AND ELECTRONICS,hardware,0.98,0.95,1807.1986061429811,1639.5150331144573
POULTRY,perishable,0.5,0.9,21186.71969999618,3456.537604541813
PREPARED FOODS,perishable,0.5,0.85,20398.3023376314,7839.47456449027
PRODUCE,perishable,0.5618265777321704,0.98,26014.46281791089,2101.030037358133
SCHOOL AND OFFICE SUPPLIES,grocery,0.98,0.98,8476.85226275757,8476.85226275757
SEAFOOD,perishable,0.5,0.7,6659.839474245493,5068.46997940247
